source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
627,afl-player-v1-31584a51caeba8f403f7,liam-hetherton,Liam Hetherton,St Kilda Saints,"G-FWD,K-FWD",matched,Liam Hetherton,Sydney,K-FWD,"{""birth_date"":""2007-05-02"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2025,""legacy_key"":""liam-hetherton""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
743,afl-player-v1-8699d0ef02651920ee05,liam-o-connell,Liam O'Connell,West Coast Eagles,G-DEF,matched,Liam O'Connell,St Kilda,G-DEF,"{""birth_date"":""2003-03-04"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2023,""legacy_key"":""liam-o-connell""}",draft_pick,True,
480,afl-player-v1-c60baecc88fb4fe722b5,malakai-champion,Malakai Champion,Melbourne Demons,G-FWD,matched,Malakai Champion,West Coast,G-FWD,"{""birth_date"":""2006-05-17"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2024,""legacy_key"":""malakai-champion""}",draft_pick,True,
369,afl-player-v1-96e4afac65663a792290,mark-blicavs,Mark Blicavs,Geelong Cats,"RUCK,MID",matched,Mark Blicavs,Geelong,MID,"{""birth_date"":""1991-03-28"",""birth_year"":1991,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2011,""legacy_key"":""mark-blicavs""}",draft_pick,True,
43,afl-player-v1-0161f6e4e64f66732e03,mark-keane,Mark Keane,Adelaide Crows,"G-DEF,K-DEF",matched,Mark Keane,Collingwood,K-DEF,"{""birth_date"":"""",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2022,""legacy_key"":""mark-keane""}","birth_date,draft_pick",True,
77,afl-player-v1-b9731120bd8796d03337,mark-o-connor,Mark O'Connor,Brisbane Lions,"G-DEF,MID",matched,Mark O'Connor,Geelong,G-DEF,"{""birth_date"":""1997-01-17"",""birth_year"":1997,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2016,""legacy_key"":""mark-o-connor""}",draft_pick,True,
379,afl-player-v1-5ded124c3073357f49b3,mason-cox,Mason Cox,Geelong Cats,"RUCK,G-FWD,K-FWD",matched,Mason Cox,Collingwood,K-FWD,"{""birth_date"":""1991-03-14"",""birth_year"":1991,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2014,""legacy_key"":""mason-cox""}",draft_pick,True,
34,afl-player-v1-9753c5a65f8ab7ff3101,matt-cottrell,Matt Cottrell,Adelaide Crows,"MID,G-FWD",matched,Matt Cottrell,Carlton,MID,"{""birth_date"":""2000-02-29"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2018,""legacy_key"":""matt-cottrell""}",draft_pick,True,
515,afl-player-v1-9186b21cf6ec11f9140a,matt-duffy,Matt Duffy,North Melbourne Kangaroos,"G-DEF,K-DEF",matched,Matt Duffy,Carlton,G-DEF,"{""birth_date"":""2004-01-02"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2024,""legacy_key"":""matt-duffy""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
261,afl-player-v1-5990557d50150e6d1dc8,matt-hill,Matt Hill,Free agents,G-DEF,matched,Matt Hill,Hawthorn,G-FWD,"{""birth_date"":""2004-01-01"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2024,""legacy_key"":""matt-hill""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
