lead,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
2,task012,points_q50,0.5,4818,0.48111249481112495,-0.018887505188875053,0.018887505188875053,actual_points <= predicted_quantile
2,task047,points_q50,0.5,4818,0.49107513491075133,-0.008924865089248668,0.008924865089248668,actual_points <= predicted_quantile
2,task012,points_q75,0.75,4818,0.6288916562889165,-0.12110834371108348,0.12110834371108348,actual_points <= predicted_quantile
2,task047,points_q75,0.75,4818,0.6506849315068494,-0.09931506849315064,0.09931506849315064,actual_points <= predicted_quantile
2,task012,points_q90,0.9,4818,0.7631797426317974,-0.13682025736820258,0.13682025736820258,actual_points <= predicted_quantile
2,task047,points_q90,0.9,4818,0.797011207970112,-0.10298879202988798,0.10298879202988798,actual_points <= predicted_quantile
2,task012,points_q97,0.97,4818,0.8621834786218348,-0.10781652137816522,0.10781652137816522,actual_points <= predicted_quantile
2,task047,points_q97,0.97,4818,0.8885429638854296,-0.08145703611457034,0.08145703611457034,actual_points <= predicted_quantile
3,task012,points_q10,0.1,4016,0.4073705179282869,0.30737051792828685,0.30737051792828685,actual_points <= predicted_quantile
3,task047,points_q10,0.1,4016,0.4076195219123506,0.30761952191235065,0.30761952191235065,actual_points <= predicted_quantile
3,task012,points_q25,0.25,4016,0.43600597609561753,0.18600597609561753,0.18600597609561753,actual_points <= predicted_quantile
3,task047,points_q25,0.25,4016,0.4392430278884462,0.1892430278884462,0.1892430278884462,actual_points <= predicted_quantile
3,task012,points_q50,0.5,4016,0.5131972111553785,0.01319721115537853,0.01319721115537853,actual_points <= predicted_quantile
3,task047,points_q50,0.5,4016,0.524402390438247,0.02440239043824699,0.02440239043824699,actual_points <= predicted_quantile
3,task012,points_q75,0.75,4016,0.6254980079681275,-0.12450199203187251,0.12450199203187251,actual_points <= predicted_quantile
3,task047,points_q75,0.75,4016,0.6496513944223108,-0.10034860557768921,0.10034860557768921,actual_points <= predicted_quantile
3,task012,points_q90,0.9,4016,0.7415338645418327,-0.15846613545816735,0.15846613545816735,actual_points <= predicted_quantile
3,task047,points_q90,0.9,4016,0.7766434262948207,-0.12335657370517927,0.12335657370517927,actual_points <= predicted_quantile
3,task012,points_q97,0.97,4016,0.8396414342629482,-0.13035856573705173,0.13035856573705173,actual_points <= predicted_quantile
3,task047,points_q97,0.97,4016,0.8697709163346613,-0.10022908366533867,0.10022908366533867,actual_points <= predicted_quantile
4,task012,points_q10,0.1,3217,0.48119365868821884,0.38119365868821886,0.38119365868821886,actual_points <= predicted_quantile
4,task047,points_q10,0.1,3217,0.4815045073049425,0.38150450730494245,0.38150450730494245,actual_points <= predicted_quantile
4,task012,points_q25,0.25,3217,0.4989120298414672,0.2489120298414672,0.2489120298414672,actual_points <= predicted_quantile
4,task047,points_q25,0.25,3217,0.5020205160087038,0.2520205160087038,0.2520205160087038,actual_points <= predicted_quantile
4,task012,points_q50,0.5,3217,0.5526888405346596,0.05268884053465961,0.05268884053465961,actual_points <= predicted_quantile
4,task047,points_q50,0.5,3217,0.5610817531861984,0.06108175318619835,0.06108175318619835,actual_points <= predicted_quantile
4,task012,points_q75,0.75,3217,0.6512278520360585,-0.09877214796394151,0.09877214796394151,actual_points <= predicted_quantile
4,task047,points_q75,0.75,3217,0.6729872552067143,-0.07701274479328568,0.07701274479328568,actual_points <= predicted_quantile
4,task012,points_q90,0.9,3217,0.7488343176872863,-0.15116568231271377,0.15116568231271377,actual_points <= predicted_quantile
4,task047,points_q90,0.9,3217,0.7789866335094808,-0.12101336649051919,0.12101336649051919,actual_points <= predicted_quantile
4,task012,points_q97,0.97,3217,0.8349393845197389,-0.13506061548026105,0.13506061548026105,actual_points <= predicted_quantile
4,task047,points_q97,0.97,3217,0.8728629157600248,-0.09713708423997514,0.09713708423997514,actual_points <= predicted_quantile
5,task012,points_q10,0.1,2421,0.5472945064023131,0.44729450640231316,0.44729450640231316,actual_points <= predicted_quantile
5,task047,points_q10,0.1,2421,0.5472945064023131,0.44729450640231316,0.44729450640231316,actual_points <= predicted_quantile
5,task012,points_q25,0.25,2421,0.5596860801321768,0.3096860801321768,0.3096860801321768,actual_points <= predicted_quantile
5,task047,points_q25,0.25,2421,0.5634035522511359,0.3134035522511359,0.3134035522511359,actual_points <= predicted_quantile
5,task012,points_q50,0.5,2421,0.5993391160677406,0.0993391160677406,0.0993391160677406,actual_points <= predicted_quantile
5,task047,points_q50,0.5,2421,0.6142090045435771,0.11420900454357708,0.11420900454357708,actual_points <= predicted_quantile
5,task012,points_q75,0.75,2421,0.6699710863279636,-0.08002891367203635,0.08002891367203635,actual_points <= predicted_quantile
5,task047,points_q75,0.75,2421,0.6914498141263941,-0.05855018587360594,0.05855018587360594,actual_points <= predicted_quantile
5,task012,points_q90,0.9,2421,0.7600165220983065,-0.13998347790169352,0.13998347790169352,actual_points <= predicted_quantile
5,task047,points_q90,0.9,2421,0.7748864105741429,-0.12511358942585715,0.12511358942585715,actual_points <= predicted_quantile
5,task012,points_q97,0.97,2421,0.8318876497315159,-0.13811235026848412,0.13811235026848412,actual_points <= predicted_quantile
5,task047,points_q97,0.97,2421,0.8562577447335812,-0.11374225526641879,0.11374225526641879,actual_points <= predicted_quantile
