Player Name,AFFL Team,Position/s
Laitham Vandermeer,Free agents,G-FWD
Zac Walker,Free agents,"K-DEF,G-DEF"
Xavier Walsh,Free agents,"K-FWD,G-FWD"
Brandon Zerk-Thatcher,Free agents,"K-DEF,G-DEF"
Jevan Phillipou,Fremantle Dockers,MID
Max Knobel,Fremantle Dockers,RUCK
Harvey Langford,Fremantle Dockers,MID
Tyan Prindable,Fremantle Dockers,MID
Jaxon Prior,Fremantle Dockers,G-DEF
Hunter Holmes,Fremantle Dockers,MID
Jack Buller,Fremantle Dockers,"G-FWD,K-FWD"
Archie Ludowyke,Fremantle Dockers,"G-FWD,K-FWD"
Oliver Francou,Fremantle Dockers,MID
Jack Dalton,Fremantle Dockers,MID
Kayle Gerreyn,Fremantle Dockers,RUCK
Jai Murray,Fremantle Dockers,MID
Ben Camporeale,Fremantle Dockers,MID
Will Darcy,Fremantle Dockers,"G-DEF,G-FWD,K-FWD,K-DEF"
Josh Rachele,Fremantle Dockers,"G-FWD,MID"
Sullivan Robey,Fremantle Dockers,"MID,G-FWD"
Hugh Bond,Fremantle Dockers,G-DEF
Harry Kyle,Fremantle Dockers,"G-DEF,MID"
Cooper Hynes,Fremantle Dockers,G-FWD
Logan Smith,Fremantle Dockers,RUCK
Jay Polkinghorne,Fremantle Dockers,"G-FWD,K-FWD"
Jacob Moss,Fremantle Dockers,"G-DEF,K-DEF"
Aiden Riddle,Fremantle Dockers,RUCK
Daniel Annable,Fremantle Dockers,MID
James Borlase,Fremantle Dockers,"G-DEF,K-DEF"
Leo Lombard,Fremantle Dockers,G-FWD
Aidan Schubert,Fremantle Dockers,"RUCK,G-FWD,K-FWD"
Lucas Camporeale,Fremantle Dockers,MID
Lachy Dovaston,Fremantle Dockers,G-FWD
Murphy Reid,Fremantle Dockers,G-FWD
Jagga Smith,Fremantle Dockers,"MID,G-FWD"
Harley Barker,Fremantle Dockers,MID
Dyson Sharp,Fremantle Dockers,MID
Blake Thredgold,Fremantle Dockers,"G-DEF,K-DEF"
Patrick Voss,Fremantle Dockers,"G-FWD,K-FWD"
Zane Zakostelsky,Fremantle Dockers,"G-DEF,RUCK,K-DEF"
Willem Duursma,Fremantle Dockers,MID
Jack Ison,Fremantle Dockers,MID
Jordon Butts,Fremantle Dockers,"G-DEF,K-DEF"
Jack Whitlock,Fremantle Dockers,"G-FWD,K-FWD"
Nick Murray,Fremantle Dockers,"G-DEF,K-DEF"
Cooper Duff-Tytler,Fremantle Dockers,"RUCK,G-FWD,K-FWD"
Zeke Uwland,Fremantle Dockers,"G-DEF,MID"
Beau Addinsall,Fremantle Dockers,MID
Jacob Farrow,Fremantle Dockers,"G-DEF,MID"
Josh Lai,Fremantle Dockers,"MID,G-DEF"
Reilly O'Brien,Geelong Cats,RUCK
