Player Name,AFFL Team,Position/s
Mitch Zadow,Port Adelaide Power,G-FWD
Jake Riccardi,Port Adelaide Power,"RUCK,G-FWD,K-FWD"
Dayne Zorko,Port Adelaide Power,G-DEF
Luke Beecken,Port Adelaide Power,MID
Tim Membrey,Port Adelaide Power,"G-FWD,K-FWD"
Caleb Daniel,Port Adelaide Power,G-DEF
Jack Sinclair,Port Adelaide Power,G-DEF
Jeremy Howe,Port Adelaide Power,G-DEF
James Worpel,Port Adelaide Power,MID
Jesse Hogan,Port Adelaide Power,"G-FWD,K-FWD"
Stephen Coniglio,Port Adelaide Power,"MID,G-FWD"
George Hewett,Port Adelaide Power,MID
Patrick Dangerfield,Port Adelaide Power,G-FWD
Michael Frederick,Port Adelaide Power,"G-FWD,MID"
Bodhi Uwland,Port Adelaide Power,G-DEF
Bradley Hill,Port Adelaide Power,"MID,G-FWD"
Blake Hardwick,Port Adelaide Power,G-DEF
Rory Lobb,Port Adelaide Power,"G-DEF,K-DEF"
Oliver Wiltshire,Port Adelaide Power,G-FWD
Christian Salem,Port Adelaide Power,G-DEF
Jake Kolodjashnij,Port Adelaide Power,"G-DEF,K-DEF"
Riak Andrew,Port Adelaide Power,"G-DEF,K-DEF"
Brandon Walker,Port Adelaide Power,G-DEF
Mason Wood,Port Adelaide Power,"MID,G-FWD"
Tom Cole,Port Adelaide Power,G-DEF
Peter Wright,Port Adelaide Power,"G-FWD,K-FWD,RUCK"
Jaren Carr,Port Adelaide Power,G-FWD
Rowan Marshall,Port Adelaide Power,"RUCK,K-FWD"
Cillian Burke,Port Adelaide Power,G-DEF
Tom Atkins,Port Adelaide Power,MID
Thomas Stewart,Port Adelaide Power,G-DEF
Corey Durdin,Port Adelaide Power,G-FWD
Harrison Coe,Port Adelaide Power,RUCK
Dougal Howard,Port Adelaide Power,"G-DEF,K-DEF"
Darcy Fogarty,Port Adelaide Power,"G-FWD,K-FWD"
Zac Fisher,Port Adelaide Power,G-FWD
Jayden Short,Port Adelaide Power,G-DEF
Jarrod Witts,Port Adelaide Power,RUCK
Darcy Byrne-Jones,Port Adelaide Power,"G-FWD,G-DEF"
Charlie Spargo,Port Adelaide Power,G-FWD
Hugo Ralphsmith,Port Adelaide Power,MID
Jack Graham,Port Adelaide Power,"MID,G-FWD"
Leek Aleer,Port Adelaide Power,"G-DEF,K-DEF"
Nick Driscoll,Port Adelaide Power,SF
Joshua Weddle,Richmond Tigers,"G-DEF,MID"
Connor MacDonald,Richmond Tigers,G-FWD
Ned Reeves,Richmond Tigers,RUCK
Xavier Taylor,Richmond Tigers,G-DEF
Milan Murdock,Richmond Tigers,"MID,G-FWD"
Xavier Bamert,Richmond Tigers,MID
Edward Allan,Richmond Tigers,MID
Sam Butler,Richmond Tigers,"MID,G-FWD"
Brayden George,Richmond Tigers,G-FWD
Harvey Gallagher,Richmond Tigers,G-DEF
Will Lorenz,Richmond Tigers,MID
Colby McKercher,Richmond Tigers,"G-DEF,G-FWD"
Zane Duursma,Richmond Tigers,"G-DEF,G-FWD"
Henry Hustwaite,Richmond Tigers,MID
Judd McVee,Richmond Tigers,G-DEF
Maxwell King,Richmond Tigers,"G-FWD,K-FWD"
Cooper Trembath,Richmond Tigers,"G-FWD,K-FWD"
Kysaiah Pickett,Richmond Tigers,"MID,G-FWD"
James O'Donnell,Richmond Tigers,"G-DEF,K-DEF"
Mitchell Knevitt,Richmond Tigers,MID
Luke Davies-Uniacke,Richmond Tigers,MID
Tom Blamires,Richmond Tigers,"G-DEF,MID"
Angus Hastie,Richmond Tigers,G-DEF
Ben Long,Richmond Tigers,G-FWD
Cooper Simpson,Richmond Tigers,G-DEF
Campbell Lake,Richmond Tigers,"G-FWD,MID"
Chris Scerri,Richmond Tigers,"G-FWD,MID"
Tom Hanily,Richmond Tigers,G-FWD
Griffin Logue,Richmond Tigers,"G-DEF,K-DEF"
Cooper Harvey,Richmond Tigers,G-FWD
Hugo Mikunda,Richmond Tigers,"MID,G-FWD"
Aaron Cadman,Richmond Tigers,"G-FWD,K-FWD"
George Wardlaw,Richmond Tigers,MID
Hayden Mclean,Richmond Tigers,"G-FWD,K-FWD"
Will Day,Richmond Tigers,MID
Cameron Zurhaar,Richmond Tigers,"G-FWD,G-DEF"
Nathan Broad,Richmond Tigers,G-DEF
Noah Anderson,Richmond Tigers,MID
Paul Curtis,Richmond Tigers,G-FWD
Tylar Young,Richmond Tigers,"G-DEF,K-DEF"
Zak Johnson,Richmond Tigers,G-DEF
Paddy Cross,Richmond Tigers,G-FWD
Christian Moraes,Richmond Tigers,"MID,G-FWD"
Ewan Mackinlay,Richmond Tigers,"MID,G-FWD"
Toby Whan,Richmond Tigers,MID
Taylor Goad,Richmond Tigers,RUCK
Conor McKenna,St Kilda Saints,G-FWD
Tim Kelly,St Kilda Saints,"MID,G-FWD"
Brodie Grundy,St Kilda Saints,RUCK
Liam Hetherton,St Kilda Saints,"G-FWD,K-FWD"
Cody Curtin,St Kilda Saints,"G-FWD,K-FWD"
Callum M. Brown,St Kilda Saints,G-FWD
Dan Houston,St Kilda Saints,G-DEF
Samuel Collins,St Kilda Saints,"G-DEF,K-DEF"
Lennox Hoffman,St Kilda Saints,G-DEF
Joseph Fonti,St Kilda Saints,G-DEF
Francis Evans,St Kilda Saints,G-FWD
Ethan Read,St Kilda Saints,"G-FWD,K-FWD"
Matthew Kennedy,St Kilda Saints,MID
Josaia Delana,St Kilda Saints,G-FWD
Nick Vlastuin,St Kilda Saints,G-DEF
Charlie Comben,St Kilda Saints,K-DEF
Noah Answerth,St Kilda Saints,G-DEF
Tyson Stengle,St Kilda Saints,G-FWD
Karl Amon,St Kilda Saints,G-DEF
Oliver Wines,St Kilda Saints,MID
Kyle Langford,St Kilda Saints,"G-FWD,K-FWD,MID"
Andrew Brayshaw,St Kilda Saints,MID
Archie Roberts,St Kilda Saints,G-DEF
Luke Jackson,St Kilda Saints,RUCK
Ollie Murphy,St Kilda Saints,"G-DEF,K-DEF"
Bailey Banfield,St Kilda Saints,G-DEF
Ed Richards,St Kilda Saints,MID
Shai Bolton,St Kilda Saints,"MID,G-FWD"
Ned Moyle,St Kilda Saints,RUCK
Jack Gunston,St Kilda Saints,"G-FWD,K-FWD"
Harry Edwards,St Kilda Saints,"G-DEF,K-DEF"
Ryan Maric,St Kilda Saints,"G-DEF,MID"
Jacob Molier,St Kilda Saints,RUCK
Jacob Weitering,St Kilda Saints,"G-DEF,K-DEF"
Seth Campbell,St Kilda Saints,G-FWD
Rhyan Mansell,St Kilda Saints,G-FWD
George Stevens,St Kilda Saints,MID
Josh Lindsay,St Kilda Saints,G-DEF
Zachary Williams,St Kilda Saints,"G-FWD,G-DEF"
Jackson Macrae,St Kilda Saints,MID
Peter Ladhams,St Kilda Saints,"RUCK,G-FWD,K-FWD"
Jordon Sweet,St Kilda Saints,RUCK
Noah Chamberlain,St Kilda Saints,"G-FWD,K-FWD"
Harry Morrison,St Kilda Saints,MID
Harry McKay,St Kilda Saints,"G-FWD,K-FWD"
Ashton Moir,St Kilda Saints,G-FWD
Joel Fitzgerald,Sydney Swans,MID
Maurice Rioli,Sydney Swans,G-FWD
Tristan Xerri,Sydney Swans,RUCK
Ben King,Sydney Swans,"G-FWD,K-FWD"
John Noble,Sydney Swans,G-DEF
Luke Cleary,Sydney Swans,G-DEF
Sandy Brock,Sydney Swans,"G-DEF,K-DEF"
Harry O'Farrell,Sydney Swans,"G-DEF,K-DEF"
Will Lewis,Sydney Swans,"G-FWD,K-FWD"
Xavier O'Halloran,Sydney Swans,"MID,G-FWD"
Sam Clohesy,Sydney Swans,MID
Harrison Himmelberg,Sydney Swans,G-DEF
Bailey J. Williams,Sydney Swans,"RUCK,G-FWD,K-FWD"
Riley Hardeman,Sydney Swans,G-DEF
Tom Sparrow,Sydney Swans,"G-FWD,MID"
Brennan Cox,Sydney Swans,"G-DEF,K-DEF"
James Rowbottom,Sydney Swans,MID
Ben Miller,Sydney Swans,"G-DEF,K-DEF"
Corey Wagner,Sydney Swans,"MID,G-DEF"
Dion Prestia,Sydney Swans,"MID,G-FWD"
Logan Morris,Sydney Swans,"G-FWD,K-FWD"
Max Heath,Sydney Swans,"RUCK,G-FWD,K-FWD"
Max Mapley,Sydney Swans,RUCK
Matthew Flynn,Sydney Swans,RUCK
Oliver Hollands,Sydney Swans,"G-DEF,MID"
Marc Pittonet,Sydney Swans,RUCK
Conor Nash,Sydney Swans,MID
Steely Green,Sydney Swans,G-FWD
Tom McCartin,Sydney Swans,"G-DEF,K-DEF"
Ryley Sanders,Sydney Swans,"MID,G-FWD"
Logan Evans,Sydney Swans,G-DEF
Sam Berry,Sydney Swans,MID
Sam Switkowski,Sydney Swans,G-FWD
Jacob Hopper,Sydney Swans,MID
Heath Chapman,Sydney Swans,G-DEF
Aaron Naughton,Sydney Swans,"G-FWD,K-FWD"
Lachie Neale,Sydney Swans,MID
Sam Allen,Sydney Swans,"MID,G-FWD"
Charlie Cameron,Sydney Swans,G-FWD
Ryan Lester,Sydney Swans,G-DEF
Jarrod Berry,Sydney Swans,MID
Adam Sweid,Sydney Swans,MID
Oliver Florent,Sydney Swans,"MID,G-DEF"
Ed Langdon,Sydney Swans,"MID,G-FWD,G-DEF"
Wayne Milera,Sydney Swans,G-DEF
Lachlan Gulbin,Sydney Swans,G-FWD
Noah Howes,Essendon Bombers,"G-FWD,K-FWD"
Robert Hansen,West Coast Eagles,"MID,G-FWD"
Hugo Garcia,West Coast Eagles,MID
Jake Bowey,West Coast Eagles,G-DEF
Lachlan Blakiston,West Coast Eagles,"G-DEF,K-DEF,RUCK"
Shaun Mannagh,West Coast Eagles,G-FWD
Jai Saxena,West Coast Eagles,G-FWD
Ollie Lord,West Coast Eagles,"G-FWD,K-FWD"
Jake Waterman,West Coast Eagles,"G-FWD,K-FWD"
Nicholas Coffield,West Coast Eagles,G-DEF
Josh Worrell,West Coast Eagles,G-DEF
Jack Buckley,West Coast Eagles,"G-DEF,K-DEF"
Hayden Young,West Coast Eagles,MID
Steele Sidebottom,West Coast Eagles,MID
Harvey Harrison,West Coast Eagles,G-FWD
Ned Long,Brisbane Lions,"MID,G-FWD"
Nick Haynes,West Coast Eagles,G-DEF
Darcy Moore,Essendon Bombers,"G-DEF,K-DEF"
Beau McCreery,West Coast Eagles,G-FWD
Adam Treloar,West Coast Eagles,"MID,G-FWD"
Andy Moniz-Wakefield,West Coast Eagles,G-DEF
Lachlan Cowan,Essendon Bombers,G-DEF
Harvey Thomas,Brisbane Lions,"G-FWD,MID"
Sam Durham,West Coast Eagles,"MID,G-FWD"
Darcy Cameron,West Coast Eagles,RUCK
Kane Farrell,Essendon Bombers,G-DEF
Josh Treacy,West Coast Eagles,"G-FWD,K-FWD"
Liam O'Connell,West Coast Eagles,G-DEF
Nasiah Wanganeen-Milera,Brisbane Lions,"G-DEF,MID"
Jordan Clark,West Coast Eagles,G-DEF
Kalani White,West Coast Eagles,"RUCK,G-FWD,K-FWD"
Zac McCarthy,West Coast Eagles,"RUCK,G-FWD,K-FWD"
Thomas Liberatore,West Coast Eagles,MID
Marcus Bontempelli,West Coast Eagles,MID
Christian Petracca,West Coast Eagles,"MID,G-FWD"
Daniel Turner,West Coast Eagles,"G-DEF,K-DEF"
Ben McKay,West Coast Eagles,"G-DEF,K-DEF"
Zachary Merrett,West Coast Eagles,MID
Jayden Laverde,West Coast Eagles,"G-DEF,K-DEF"
Jai Newcombe,West Coast Eagles,MID
Luke Ryan,West Coast Eagles,G-DEF
Tim Taranto,West Coast Eagles,MID
Nic Newman,West Coast Eagles,G-DEF
Brent Daniels,Essendon Bombers,"G-FWD,MID"
Alex Davies,Western Bulldogs,MID
Sam Marshall,Western Bulldogs,MID
Tanner Bruhn,Western Bulldogs,MID
Nick Bryan,Western Bulldogs,RUCK
Lewis Hayes,Western Bulldogs,G-DEF
Wil Parker,Western Bulldogs,G-DEF
Marcus Windhager,Western Bulldogs,"MID,G-DEF"
Trent Rivers,Western Bulldogs,G-DEF
Connor O'Sullivan,Western Bulldogs,"G-DEF,K-DEF"
Cooper Lord,Western Bulldogs,MID
Josh Gibcus,Western Bulldogs,"G-DEF,K-DEF"
Liam Reidy,Western Bulldogs,"RUCK,G-FWD,K-FWD"
Ricky Mentha,Western Bulldogs,"G-DEF,G-FWD"
Bailey Humphrey,Western Bulldogs,"MID,G-FWD"
Miles Bergman,Western Bulldogs,G-DEF
Darcy Wilson,Western Bulldogs,"MID,G-FWD"
Isaac Kako,Western Bulldogs,G-FWD
Zac Taylor,Western Bulldogs,G-FWD
Xavier Lindsay,Western Bulldogs,"MID,G-DEF"
Alix Tauru,Western Bulldogs,"G-DEF,K-DEF,K-FWD,G-FWD"
Wade Derksen,Western Bulldogs,"G-DEF,K-DEF"
Max Hall,Western Bulldogs,"G-FWD,MID"
Matthew Roberts,Western Bulldogs,"G-DEF,MID"
Jamarra Ugle-Hagan,Western Bulldogs,"G-FWD,K-FWD"
Mac Andrew,Western Bulldogs,"G-DEF,K-DEF"
Angus Sheldrick,Western Bulldogs,MID
Luke Nankervis,Western Bulldogs,MID
Talor Byrne,Western Bulldogs,"MID,G-FWD"
Matt Johnson,Western Bulldogs,MID
Charlie West,Western Bulldogs,"G-FWD,K-FWD"
Bailey MacDonald,Western Bulldogs,G-DEF
Caleb Windsor,Western Bulldogs,"G-DEF,MID"
Jobe Shanahan,Western Bulldogs,"G-FWD,K-FWD"
Nathan Wardius,Western Bulldogs,G-FWD
Joel Freijah,Western Bulldogs,"MID,G-FWD"
Jack Ough,Western Bulldogs,MID
Caleb Serong,Western Bulldogs,MID
Mitchito Owens,Western Bulldogs,K-FWD
James Trezise,Western Bulldogs,"SD,MID"
Matt Carroll,Western Bulldogs,"SD,MID"
Changkuoth Jiath,Western Bulldogs,SD
Hussien El Achkar,Western Bulldogs,SF
Archie May,Western Bulldogs,K-FWD
Cameron Mackenzie,Western Bulldogs,MID
Mitchell Edwards,Western Bulldogs,RUC
