vnext_rank,key,player,position_forecast,position_utility,pick,tenure,age,five_year_utility_mean,five_year_utility_median,five_year_utility_p10,five_year_utility_p90,expected_games_5y_mc,expected_points_5y_mc,p_zero_meaningful_5y,p_90_any_5y_mc,p_100_any_5y_mc,p_110_any_5y_mc,exp_90_seasons_5y_mc,exp_100_seasons_5y_mc,exp_110_seasons_5y_mc,future_value_y1_mean,future_value_y2_mean,future_value_y1_p10,future_value_y1_p90,future_value_y2_p10,future_value_y2_p90
30,jaspa-fletcher,Jaspa Fletcher,MID,DEF,12.0,4,22.0,910.6419453657027,791.275126860568,143.60002013111512,1915.9692411271894,86.55666666666667,7388.852119231546,0.008333333333333333,0.7483333333333333,0.48,0.235,1.6733333333333333,0.8016666666666666,0.32166666666666666,198.4272774239347,227.59296854114683,0.1118146679381987,524.2413144667969,0.026255555629314264,605.739787703754
31,connor-o-sullivan,Connor O'Sullivan,DEF,DEF,11.0,3,21.0,909.173864972147,810.6082999643456,128.21149575327388,1817.4384454835454,91.32,7766.006098554077,0.0,0.7716666666666666,0.5083333333333333,0.26166666666666666,1.7083333333333333,0.8633333333333333,0.32666666666666666,166.3428377965233,184.76069730944718,0.049062983558467194,478.9623437019271,0.03335388324134235,504.73345199778976
32,aaron-cadman,Aaron Cadman,FWD,FWD,1.0,4,22.0,905.8867116081067,812.4693801770541,193.64202887320877,1718.4892243670995,79.33333333333333,6361.558634073085,0.0016666666666666668,0.6083333333333333,0.32,0.09666666666666666,1.14,0.435,0.11833333333333333,215.7653065677405,215.26034099814677,0.5346388579455179,553.1576873552247,0.13243224769720005,532.9066378298763
33,jason-horne-francis,Jason Horne-Francis,MID,MID,1.0,5,23.0,894.947379017851,770.6060586596252,168.55874532105122,1747.8633610205443,81.74333333333334,7155.60225351598,0.0016666666666666668,0.805,0.54,0.27166666666666667,1.8916666666666666,0.9483333333333334,0.35333333333333333,270.2555933761702,214.07024130846256,0.9629678686076241,666.8171817378729,0.0763511124247707,538.5170931758262
34,josh-treacy,Josh Treacy,FWD,FWD,5.0,6,24.0,803.7401294190392,750.1557517323027,168.72760598300482,1508.7927288240962,69.065,5435.713384010618,0.006666666666666667,0.575,0.2833333333333333,0.08166666666666667,0.95,0.355,0.09,304.81150024513056,213.1327205797995,2.238198607821522,696.8351776708456,0.18085049423442226,524.1722728421407
35,joel-freijah,Joel Freijah,MID,MID,45.0,3,21.0,780.9286129618945,655.8184454994121,128.87533335030318,1536.3261434403366,85.405,7272.232950425617,0.0016666666666666668,0.7483333333333333,0.5133333333333333,0.215,1.6233333333333333,0.79,0.26166666666666666,155.65790597599835,194.35198666489816,0.05020800388784227,464.41673817420514,0.0018287046024504363,537.4039012647365
36,riley-thilthorpe,Riley Thilthorpe,FWD,FWD,2.0,6,24.0,776.2774319565913,706.0208655612978,167.72476463724877,1391.1997639962728,71.76666666666667,5628.460231530831,0.018333333333333333,0.5616666666666666,0.24666666666666667,0.06166666666666667,0.8833333333333333,0.29833333333333334,0.065,237.11777737084242,200.3370380574904,0.0,564.8260053559775,0.0,524.8478058274333
37,matt-rowell,Matt Rowell,MID,MID,1.0,7,25.0,765.2911432616323,672.6693226334969,142.24000427025462,1485.4221196409835,74.34,6381.489301605296,0.015,0.7883333333333333,0.505,0.20833333333333334,1.5833333333333333,0.7383333333333333,0.24666666666666667,258.02601917970424,200.3648190451506,0.0,591.3699836984799,0.0,522.0499299448733
38,josh-rachele,Josh Rachele,FWD,FWD,6.0,5,23.0,761.3186858917504,683.6698500722348,110.71744527065336,1502.8340499125884,73.86833333333334,5723.255750105656,0.006666666666666667,0.5516666666666666,0.27,0.08666666666666667,0.9166666666666666,0.3383333333333333,0.095,220.26632465221988,189.6544497610324,0.4174038406362978,553.7400243137483,0.0509725566016405,508.5569444172314
39,andrew-brayshaw,Andrew Brayshaw,MID,MID,2.0,9,27.0,755.9871330634033,668.0885237999885,104.18949032316335,1558.494185515369,73.78166666666667,6230.248915265204,0.011666666666666667,0.7583333333333333,0.4683333333333333,0.21,1.535,0.7233333333333334,0.24833333333333332,299.7697494025422,207.07314424871942,1.81225077022438,695.1709297493408,0.00020558964568685451,522.6530019194515
40,tom-green,Tom Green,MID,MID,10.0,7,25.0,745.5335858902866,666.9277284893894,101.79777424179031,1518.2002251675983,69.56166666666667,5976.351297469001,0.023333333333333334,0.775,0.5066666666666667,0.205,1.5733333333333333,0.7433333333333333,0.24666666666666667,299.4903101804466,172.86691506421528,0.0,672.6067805885551,0.0,464.0926502950999
41,mac-andrew,Mac Andrew,DEF,DEF,5.0,5,23.0,734.0945867690505,635.1804304199443,83.45637167295158,1575.1845122405473,81.65,6716.341740846348,0.0016666666666666668,0.6566666666666666,0.41333333333333333,0.16833333333333333,1.3566666666666667,0.6166666666666667,0.2,196.73146709689064,181.8790880448873,0.09190249775471988,526.1107970620577,0.030182856667722083,491.97378465279417
42,joe-berry,Joe Berry,FWD,FWD,15.0,2,20.0,724.5552392601426,601.6762647874556,141.35764080178345,1444.8149327166818,76.93833333333333,5910.118202879623,0.0033333333333333335,0.515,0.2683333333333333,0.095,0.815,0.345,0.10166666666666667,132.483940025136,175.4941747480202,0.017750939910519337,382.98157471142684,0.0265124051224352,469.653920365436
43,zac-bailey,Zac Bailey,FWD,FWD,15.0,9,27.0,724.4254849761569,668.0863349911292,110.47748698604387,1388.9647898948865,67.42833333333333,5176.372593064898,0.005,0.5533333333333333,0.245,0.05333333333333334,0.8533333333333334,0.30833333333333335,0.056666666666666664,280.93158455253416,202.6662255949254,2.0327695224380604,668.9396293612044,0.10469898673229475,509.6035354799065
44,nick-blakey,Nick Blakey,FWD,DEF,10.0,8,26.0,717.3186979013718,619.0091162016707,83.19561331686288,1451.7721973294003,75.17833333333333,6176.004281903773,0.005,0.6966666666666667,0.4066666666666667,0.16666666666666666,1.305,0.5916666666666667,0.19833333333333333,267.2545406081138,192.25713705832865,0.3780604434904629,654.1839807033696,0.012286200851226028,541.469883508028
45,sam-flanders,Sam Flanders,MID,MID,11.0,7,25.0,717.0146619788133,635.2398104556413,77.54620711178903,1444.9071079951075,71.215,6012.641522843015,0.008333333333333333,0.745,0.4683333333333333,0.20166666666666666,1.46,0.7033333333333334,0.25,283.2750068233037,202.2328094854456,1.094070779291885,698.6412958363582,0.09389566200395492,498.60020198096726
46,sam-lalor,Sam Lalor,MID,MID,1.0,2,20.0,714.6304671565161,599.3438654151616,109.13962146157725,1399.6422010018991,77.11333333333333,6602.310673815544,0.006666666666666667,0.7583333333333333,0.48,0.24166666666666667,1.6116666666666666,0.7566666666666667,0.31166666666666665,118.26778184157284,166.47803998061622,0.0,366.3432962172692,0.051462966483744155,445.37132645097535
47,hugo-garcia,Hugo Garcia,MID,MID,50.0,3,21.0,712.9087325126401,623.2084385809076,76.44870471292255,1456.1395530353416,79.785,6737.657939516627,0.01,0.72,0.44166666666666665,0.19666666666666666,1.535,0.685,0.22166666666666668,176.89164648098816,169.1441673811214,0.06825283993422601,484.488367807018,0.03621641871627818,466.5823946567269
48,marcus-bontempelli,Marcus Bontempelli,MID,MID,4.0,13,31.0,695.1399602322492,591.9563149309547,157.37549451551607,1339.5369815897948,58.678333333333335,4932.710819250278,0.008333333333333333,0.81,0.5216666666666666,0.2683333333333333,1.3666666666666667,0.715,0.30666666666666664,406.64321798774444,176.57928496640966,19.50503156745108,890.3978224422044,0.0,480.4099725337453
49,reuben-ginbey,Reuben Ginbey,MID,DEF,9.0,4,22.0,692.682642573898,585.8377130407807,86.23637685848385,1402.9280001382401,83.345,6822.910507253875,0.0033333333333333335,0.675,0.38666666666666666,0.17333333333333334,1.3166666666666667,0.53,0.19333333333333333,157.86067673787437,163.6600906108049,0.0521044435992648,439.4971359425446,0.021331973416123515,428.6289528248151
50,isaac-heeney,Isaac Heeney,MID,MID,4.0,12,30.0,672.4018450687659,576.7503821368973,110.44501063456258,1375.1306301350494,61.468333333333334,5134.302737378638,0.005,0.7716666666666666,0.47833333333333333,0.21166666666666667,1.3483333333333334,0.6683333333333333,0.25,356.99128417105374,186.9472390397631,11.032075261974176,777.1222887442507,0.017232209410191865,482.62628678152447
51,luke-davies-uniacke,Luke Davies-Uniacke,MID,MID,4.0,9,27.0,668.5953995619626,584.2181109816815,96.11991131097207,1334.0842281689568,65.11,5465.3333776969885,0.008333333333333333,0.72,0.455,0.19333333333333333,1.3533333333333333,0.6433333333333333,0.23166666666666666,311.57874002769813,181.53324490896887,2.7041587912064284,704.54137762863,0.0,490.5110555126285
52,jye-amiss,Jye Amiss,FWD,FWD,8.0,5,23.0,666.826348481687,567.9449883994414,77.34423110706076,1368.5081407305563,73.83833333333334,5575.719330780311,0.006666666666666667,0.485,0.21666666666666667,0.07,0.7366666666666667,0.2683333333333333,0.08166666666666667,172.51176482103975,160.96559585637044,0.025416185984870845,474.30933717050493,0.008474054351409178,461.389396063092
53,josh-lindsay,Josh Lindsay,DEF,DEF,19.0,1,19.0,665.7871252352708,560.2648944620172,68.65873521405616,1406.5129867393728,83.395,6813.096160379009,0.0033333333333333335,0.6616666666666666,0.3983333333333333,0.16333333333333333,1.255,0.58,0.2,104.96918471196511,125.85109900466438,0.0050112140903653445,328.20187162230184,0.014032692185406532,354.2353303802285
54,josh-ward,Josh Ward,MID,MID,7.0,5,23.0,640.737952309439,562.1625750556135,56.906925662857724,1302.1475302050203,80.09166666666667,6619.087534480476,0.01,0.6866666666666666,0.38666666666666666,0.14166666666666666,1.325,0.5633333333333334,0.17666666666666667,168.3570831512883,171.2991731226161,0.07934295407638826,435.7230339338567,0.05449176230772463,448.2802382283448
55,isaac-kako,Isaac Kako,FWD,FWD,13.0,2,20.0,636.7252092216172,540.5716431521403,81.42830510625855,1311.639234254451,72.43166666666667,5491.789710767932,0.016666666666666666,0.5,0.235,0.08666666666666667,0.74,0.2833333333333333,0.09166666666666666,89.22679553669101,155.57333887145376,0.0,292.49527777150246,0.0,436.9981508627971
56,sam-berry,Sam Berry,MID,MID,29.0,6,24.0,633.8116902898196,521.2838587331255,77.74085954968125,1306.7164804182928,70.83,5903.739650736935,0.011666666666666667,0.7033333333333334,0.39166666666666666,0.15666666666666668,1.345,0.5533333333333333,0.19166666666666668,223.12035571587776,173.99097517774405,0.1887023330149836,555.1496669974781,0.005475202453146235,451.4893518161843
57,oliver-hollands,Oliver Hollands,MID,DEF,11.0,4,22.0,631.1879645938341,524.7791130982713,67.6026545553481,1353.1854327312592,76.85166666666667,6237.878307343568,0.006666666666666667,0.65,0.375,0.15,1.1783333333333332,0.5366666666666666,0.17166666666666666,126.55596311026049,166.71781951226237,0.0,391.8014897881483,0.01091986472590342,474.22459372729224
