stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-fd58640c5c54f6f75fdf,tobie-travaglia,Tobie Travaglia,DEF,DEF,3340.8251752372794,3207.7958020402,-133.02937319707917,194,228,-34
afl-player-v1-6b568799ebc4bf88eb36,kai-lohmann,Kai Lohmann,FWD,FWD,4629.598506075208,4501.133221781352,-128.4652842938558,115,137,-22
afl-player-v1-b45c2bd338bff627435e,jed-walter,Jed Walter,FWD,FWD,4259.92637851323,4135.99067491114,-123.93570360209014,133,163,-30
afl-player-v1-3793f7fb33c2d9e92cc8,steely-green,Steely Green,FWD,FWD,3411.7585904935563,3304.152339710454,-107.6062507831025,189,217,-28
afl-player-v1-55d24843de9c3958ab7b,mitch-georgiades,Mitch Georgiades,FWD,FWD,3969.2627238992327,3863.7871802518575,-105.47554364737516,159,185,-26
afl-player-v1-0a868f1cf4977fe59a3d,max-michalanney,Max Michalanney,DEF,DEF,6409.598657250211,6305.957836034046,-103.64082121616502,52,64,-12
afl-player-v1-5609057abdfa7ac6b0b7,lachlan-jones,Lachlan Jones,DEF,DEF,3527.535760066576,3427.331475052476,-100.20428501410017,179,205,-26
afl-player-v1-232fe142fd503fe9ba47,zach-reid,Zach Reid,DEF,DEF,3096.3389494353464,3001.242598713853,-95.09635072149332,212,246,-34
afl-player-v1-445f7f59f6834b843fec,brennan-cox,Brennan Cox,FWD,DEF,1432.2362827944717,1338.8595025302488,-93.37678026422282,382,439,-57
afl-player-v1-bb01c9f6889afb0144ab,jack-whitlock,Jack Whitlock,FWD,FWD,3991.357151102789,3906.94761916233,-84.40953194045915,155,176,-21
afl-player-v1-f5edc99c62076d254cd1,ben-ainsworth,Ben Ainsworth,FWD,FWD,2616.3566138479514,2535.4393453387947,-80.91726850915666,248,282,-34
