stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-98009763e49092307d27,noah-anderson,Noah Anderson,MID,MID,8181.759337388223,9031.96393882768,850.2046014394582,20,13,7
afl-player-v1-a91d721458a8af9477df,marcus-herbert,Marcus Herbert,DEF,DEF,1394.3814564958475,2236.1452996507523,841.7638431549046,386,315,71
afl-player-v1-deef4fc4d61618986f7c,kieren-briggs,Kieren Briggs,RUC,RUC,2327.4026728575045,3165.1205380102087,837.7178651527042,279,235,44
afl-player-v1-ae0417d08a6405bbceeb,hugo-hall-kahan,Hugo Hall-Kahan,DEF,DEF,1578.9986607244737,2416.639313984453,837.6406532599794,362,298,64
afl-player-v1-df9f00b1d0c9ef2defb9,lachlan-mcandrew,Lachlan McAndrew,RUC,RUC,1206.8320060706142,2035.3423762560817,828.5103701854675,428,344,84
afl-player-v1-a79de63b596184ec6aa8,max-hall,Max Hall,FWD,FWD,5726.692781947098,6554.487471174146,827.7946892270475,69,55,14
afl-player-v1-970c598ee4fc55acaa39,caleb-serong,Caleb Serong,MID,MID,7504.063691073716,8328.74262758149,824.6789365077748,28,24,4
afl-player-v1-a224d4377faae8f072fe,kye-annand,Kye Annand,DEF,DEF,1516.428674722861,2333.534893356772,817.1062186339107,373,307,66
afl-player-v1-678c7cda11ddaff2aa8a,finn-callaghan,Finn Callaghan,MID,MID,8774.999805671236,9591.604484802936,816.6046791317003,13,7,6
afl-player-v1-d8c86c5bdaf14f79a1b2,bailey-williams-wc,Bailey J. Williams,RUC,RUC,2483.6580316327845,3268.0768073548606,784.4187757220761,262,223,39
afl-player-v1-e511a100c5f69febc62c,hugh-mccluggage,Hugh McCluggage,MID,MID,5309.6286819788575,6093.944743304252,784.3160613253949,88,68,20
afl-player-v1-614cf30f246427aac1aa,clayton-oliver,Clayton Oliver,MID,MID,4934.297329259522,5707.286213533859,772.9888842743376,104,80,24
afl-player-v1-ae2d3d03fdab9cf63599,andrew-brayshaw,Andrew Brayshaw,MID,MID,6673.886552088847,7441.53319704549,767.6466449566433,42,32,10
afl-player-v1-f7adb7c2cf1d0b3af926,tim-kelly,Tim Kelly,MID,MID,2863.012389517358,3624.500656929333,761.4882674119754,234,198,36
afl-player-v1-4af5ff1d6c0a57d3f39a,tom-blamires,Tom Blamires,MID,DEF,2024.8812709356248,2782.849112180262,757.9678412446378,307,263,44
afl-player-v1-b9ea3f3086273085ef4e,ed-richards,Ed Richards,MID,MID,5624.052936890595,6381.256680769596,757.2037438790003,74,58,16
afl-player-v1-77a1b0f46d9b5f8726c7,sam-walsh,Sam Walsh,MID,MID,5608.87885058218,6357.054545974559,748.1756953923787,76,60,16
afl-player-v1-41dcbd971cb800328d08,max-holmes,Max Holmes,MID,MID,9203.871996627977,9949.67791255908,745.8059159311051,9,4,5
afl-player-v1-b0f136f33ad07b15d6d8,ned-moyle,Ned Moyle,RUC,RUC,1482.78650649705,2222.587308234516,739.8008017374657,375,317,58
afl-player-v1-e4ebf44ca266366dbc1c,darcy-cameron,Darcy Cameron,RUC,RUC,1974.5721721349007,2708.585915192188,734.0137430572875,312,267,45
afl-player-v1-4a82f8ccfdbd058d9358,zachary-merrett,Zachary Merrett,MID,MID,4078.3166942735234,4810.65258948812,732.3358952145963,145,119,26
afl-player-v1-95fa45c52eff59104176,louis-emmett,Louis Emmett,RUC,RUC,1782.8141297999337,2507.084194187334,724.2700643874005,329,283,46
afl-player-v1-0dbc2d44e3412f13c2b1,rowan-marshall,Rowan Marshall,RUC,RUC,2212.2496958757006,2934.7865438315744,722.5368479558738,291,252,39
afl-player-v1-f1b93c65c9f4fcaec365,xavier-bamert,Xavier Bamert,MID,FWD,1584.759804615462,2306.407455599754,721.6476509842919,361,310,51
