lead,origin_year,slice_type,slice_value,n,actual_meaningful_rate,isotonic_delta_mean,origin,p_meaningful_raw_mean,p_meaningful_raw_bias,p_meaningful_raw_brier,p_meaningful_raw_log_loss,p_meaningful_raw_auc,p_meaningful_mean,p_meaningful_bias,p_meaningful_brier,p_meaningful_log_loss,p_meaningful_auc
1,2022,position,RUC,57,0.543859649122807,-0.019958676046054225,raw_classifier_underpredicts,0.47436892560501026,-0.06949072351779678,0.17237843566933847,0.5164196003834778,0.8349875930521092,0.45441024955895604,-0.089449399563851,0.17319248013490704,0.5223508442783226,0.8281637717121588
1,2022,prior_games,zero prior games,97,0.13402061855670103,0.006890231588758192,raw_classifier_underpredicts,0.11735268687509835,-0.016667931681602674,0.11116576550829328,0.3676425810137723,0.695054945054945,0.12424291846385654,-0.009777700092844482,0.11204273802379358,0.36915064681036897,0.6881868131868132
1,2023,age_band,24-26,185,0.7243243243243244,0.02557622346288757,raw_classifier_underpredicts,0.6676389300395211,-0.05668539428480324,0.15589770956072696,0.4702973527407344,0.8255779923909863,0.6932151535024087,-0.031109170821915666,0.16045955947794308,0.4871007269449958,0.8218466491074041
1,2023,age_band,27-29,129,0.7286821705426356,0.021649311943534255,raw_classifier_underpredicts,0.6142386572568603,-0.11444351328577529,0.12683111940969136,0.4272054260797783,0.8857142857142858,0.6358879692003946,-0.09279420134224103,0.12117793260636095,0.41812234987180086,0.8857142857142857
1,2023,pick_band,61+ / undrafted,121,0.5371900826446281,0.01684560098151705,raw_classifier_underpredicts,0.3522422835740904,-0.1849477990705377,0.20529223925189885,0.613988202874672,0.8240384615384616,0.3690878845556074,-0.16810219808902066,0.20228316790825665,0.6190227652525916,0.8245879120879122
1,2023,position,RUC,62,0.4032258064516129,0.020889296540882507,raw_classifier_underpredicts,0.38096864110849143,-0.022257165343121443,0.11611694795797331,0.3786727811946028,0.9070270270270271,0.40185793764937394,-0.0013678688022389363,0.1118190563594483,0.36634840003055735,0.9059459459459459
1,2023,prior_games,zero prior games,100,0.15,-0.0027204464156374564,no_material_probability_underprediction,0.19710567077772295,0.04710567077772296,0.13835710511186966,0.4462534809190524,0.512549019607843,0.1943852243620855,0.0443852243620855,0.13578870973491322,0.43912010771295795,0.5141176470588236
1,2024,age_band,24-26,178,0.702247191011236,0.020143938567129704,isotonic_moves_up,0.6942512816049938,-0.007995909406242174,0.13806051554331514,0.42154844468478736,0.8624905660377358,0.7143952201721235,0.01214802916088753,0.14257961115653559,0.4361314241003645,0.8503396226415094
1,2024,age_band,27-29,136,0.7573529411764706,0.022259779305096927,raw_classifier_underpredicts,0.657251179455251,-0.10010176172121954,0.13746423051868611,0.4295490312751228,0.8699617534568991,0.679510958760348,-0.07784198241612261,0.13115196077118518,0.42360641145447697,0.8623124448367167
1,2024,pick_band,61+ / undrafted,118,0.4915254237288136,0.019931101544666707,raw_classifier_underpredicts,0.388500306272376,-0.10302511745643761,0.15834795426536574,0.48044140904917776,0.8732758620689656,0.4084314078170427,-0.0830940159117709,0.1555077621009564,0.47347707954748697,0.8739942528735631
1,2024,position,RUC,62,0.3870967741935484,0.01808836100552752,isotonic_moves_up,0.3916370626955542,0.004540288502005829,0.12412004524504035,0.39125291729179734,0.8826754385964912,0.4097254237010817,0.02262864950753335,0.125453041403431,0.39206765258992204,0.8881578947368421
1,2024,prior_games,zero prior games,104,0.14423076923076922,0.0039352059325011846,no_material_probability_underprediction,0.1769461451939424,0.03271537596317317,0.12353912133164531,0.41359831327065955,0.6179775280898876,0.18088135112644357,0.036650581895674356,0.1239840634817201,0.4141510345995172,0.6228464419475656
2,2018,age_band,24-26,174,0.6379310344827587,-0.027028111242389352,raw_classifier_underpredicts,0.5881253443119214,-0.04980569017083725,0.14541530667138847,0.4521657518589884,0.866151866151866,0.5610972330695321,-0.0768338014132266,0.14911654612294545,0.465186803804582,0.8604318604318605
2,2018,prior_games,zero prior games,96,0.14583333333333334,-0.0024709946285997875,no_material_probability_underprediction,0.1972436414012373,0.05141030806790395,0.12635660999112777,0.41366365128722365,0.6149825783972125,0.1947726467726375,0.04893931343930416,0.12841246156918193,0.416790914491368,0.5940766550522648
2,2019,age_band,24-26,174,0.6896551724137931,-0.04090969642881992,raw_classifier_underpredicts,0.6443493096990378,-0.04530586271475534,0.1481359188908937,0.4522519343325262,0.8530864197530865,0.6034396132702179,-0.08621555914357526,0.14846042069751628,0.4602539298330566,0.8553240740740741
2,2019,prior_games,zero prior games,125,0.312,0.008513145625210605,raw_classifier_underpredicts,0.19059910272952496,-0.12140089727047504,0.2285556112173117,0.6808116957948461,0.5803518187239117,0.19911224835473557,-0.11288775164526443,0.22673929004040663,0.6849129947479439,0.5745378652355397
2,2020,age_band,24-26,171,0.6783625730994152,0.004629943309231166,raw_classifier_underpredicts,0.5452480870730564,-0.13311448602635878,0.1845931631568201,0.5573858119005343,0.8115987460815047,0.5498780303822876,-0.12848454271712761,0.17953368686783988,0.5546896807702149,0.814576802507837
2,2020,prior_games,zero prior games,106,0.22641509433962265,0.014084770818445058,raw_classifier_underpredicts,0.18424378698760785,-0.0421713073520148,0.1812890598840128,0.5769061765991528,0.5279471544715447,0.1983285578060529,-0.02808653653356974,0.1805359911866429,0.5837381186744146,0.5467479674796748
