stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-deef4fc4d61618986f7c,kieren-briggs,Kieren Briggs,RUC,RUC,2327.4026728575045,2769.533246352513,442.1305734950083,279,224,55
afl-player-v1-f3c64c36039d81bd8c9b,levi-ashcroft,Levi Ashcroft,MID,MID,9430.78447002354,9866.937242452088,436.1527724285479,6,3,3
afl-player-v1-678c7cda11ddaff2aa8a,finn-callaghan,Finn Callaghan,MID,MID,8774.999805671236,9192.746615863,417.7468101917639,13,11,2
afl-player-v1-ec36ae407a5d9b9384e1,colby-mckercher,Colby McKercher,MID,MID,9185.048806854586,9588.56658657292,403.51777971833326,10,6,4
afl-player-v1-5691b6e2d0faf55f8715,ryley-sanders,Ryley Sanders,MID,MID,9310.349044901108,9700.218803226237,389.8697583251287,7,5,2
afl-player-v1-a0c3571f3dfb3a833c8f,harley-reid,Harley Reid,MID,MID,9036.556581999435,9403.17649676858,366.6199147691423,11,9,2
afl-player-v1-f2cb672f595be33fd283,tom-green,Tom Green,MID,MID,6625.208336649012,6984.399651326279,359.19131467726766,44,34,10
afl-player-v1-be68446913746449d2a2,toby-nankervis,Toby Nankervis,RUC,RUC,1013.3443990670132,1368.8921421290613,355.547743062048,457,365,92
afl-player-v1-41dcbd971cb800328d08,max-holmes,Max Holmes,MID,MID,9203.871996627977,9516.380437581664,312.5084409536903,9,8,1
afl-player-v1-729b0a603a18a0d56369,bailey-smith,Bailey Smith,MID,MID,7711.040818207076,8006.090022597228,295.0492043901522,24,21,3
afl-player-v1-d6ed32b0c0d14bdc9e91,harvey-langford,Harvey Langford,MID,MID,8565.053195160957,8852.746580587867,287.69338542691,16,13,3
afl-player-v1-77265b1aa054f910d1c1,jai-newcombe,Jai Newcombe,MID,MID,6437.389035331769,6702.363657639087,264.974622307318,51,39,12
afl-player-v1-c6bb2d8cdbc03d55b932,lloyd-meek,Lloyd Meek,RUC,RUC,1645.6667593790378,1909.352060877492,263.685301498454,348,300,48
afl-player-v1-98009763e49092307d27,noah-anderson,Noah Anderson,MID,MID,8181.759337553379,8405.518357581093,223.7590200277145,20,17,3
afl-player-v1-868ea8f767a946d70917,jaspa-fletcher,Jaspa Fletcher,MID,DEF,8190.287503188749,8402.827084347184,212.53958115843488,19,18,1
afl-player-v1-fe72527f019221062fb2,finn-o-sullivan,Finn O'Sullivan,MID,MID,8315.679556440635,8525.028147532557,209.34859109192257,17,16,1
afl-player-v1-83b07dc4285196c7239b,sean-darcy,Sean Darcy,RUC,RUC,1091.7099625419826,1297.9898873161078,206.2799247741252,453,375,78
afl-player-v1-f71449e1a2898d8edeb8,darcy-fort,Darcy Fort,RUC,RUC,683.0133770244244,864.6008397619357,181.58746273751137,547,458,89
afl-player-v1-0eb1e4c909a009f45d6e,willem-duursma,Willem Duursma,MID,MID,8567.444887174412,8723.698231438973,156.25334426456175,14,14,0
afl-player-v1-1c150e0d509e17a4deac,jason-horne-francis,Jason Horne-Francis,MID,MID,7638.166944472665,7786.028845201599,147.86190072893442,26,23,3
afl-player-v1-1d1e35bfd48a45849e03,matt-rowell,Matt Rowell,MID,MID,6890.569203591443,7033.435551315311,142.86634772386788,35,32,3
afl-player-v1-53cf9ea07c8d23470b27,bodhi-uwland,Bodhi Uwland,DEF,DEF,4409.454006516049,4542.289247515102,132.83524099905298,127,110,17
afl-player-v1-6d9e6e921c587840f700,jarrod-witts,Jarrod Witts,RUC,RUC,391.1057798673734,520.6686544497893,129.56287458241587,642,558,84
afl-player-v1-c653d76482fdb79e1ef0,zak-butters,Zak Butters,MID,MID,7652.816240522873,7768.6670934509375,115.85085292806434,25,24,1
afl-player-v1-225c5c03a81a8580efd3,sam-flanders,Sam Flanders,MID,MID,6382.646326389514,6495.235402747293,112.58907635777904,53,45,8
afl-player-v1-a8c15dd580fe0f3312b6,josh-ward,Josh Ward,MID,MID,6889.162949374376,6989.758109873866,100.5951604994898,36,33,3
afl-player-v1-a0b3ea7bd6d63a63235c,sam-draper,Sam Draper,RUC,RUC,447.36381363894367,545.4124348018936,98.04862116294991,619,553,66
afl-player-v1-970c598ee4fc55acaa39,caleb-serong,Caleb Serong,MID,MID,7504.063691073716,7589.97366841347,85.90997733975382,28,27,1
afl-player-v1-0161f6e4e64f66732e03,mark-keane,Mark Keane,DEF,DEF,824.4628378087937,908.173786348448,83.71094853965428,504,454,50
afl-player-v1-26ff1ee55b317fca0c0f,oisin-mullin,Oisin Mullin,DEF,DEF,1631.910223375638,1709.6659057756003,77.75568239996255,350,316,34
afl-player-v1-8614727698f7e9af562e,marc-pittonet,Marc Pittonet,RUC,RUC,305.0653934806467,377.35963843968784,72.29424495904112,675,615,60
afl-player-v1-df9f00b1d0c9ef2defb9,lachlan-mcandrew,Lachlan McAndrew,RUC,RUC,1206.8320060706142,1267.0947992455376,60.262793174923445,428,380,48
afl-player-v1-d06df65863958adcd922,darcy-wilson,Darcy Wilson,MID,FWD,7607.52125100187,7661.109084537245,53.58783353537456,27,26,1
afl-player-v1-33f13e3f7a2a5dfdd21c,james-peatling,James Peatling,MID,MID,3892.2268217900655,3939.570775482169,47.34395369210279,164,144,20
afl-player-v1-853be14ce453ff08eabb,jagga-smith,Jagga Smith,MID,MID,6642.218274914545,6688.636965039207,46.418690124662135,43,41,2
afl-player-v1-413b1edfe188fa8c778c,reuben-ginbey,Reuben Ginbey,MID,DEF,7190.982574015072,7235.706835119862,44.72426110479046,34,29,5
afl-player-v1-9929a9b8322b37c5952f,matthew-flynn,Matthew Flynn,RUC,RUC,167.05320606965452,207.25263949418863,40.19943342453411,721,675,46
afl-player-v1-8386ecd55aded8f8e1ab,luke-davies-uniacke,Luke Davies-Uniacke,MID,MID,5649.777936792982,5678.35741161015,28.57947481716837,72,63,9
