stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-172361cf97bb47a65030,hayden-young,Hayden Young,DEF,MID,3985.8130282840216,3507.413679167724,-478.3993491162973,158,171,-13
afl-player-v1-d4326256dc1cb8e54f15,nick-watson,Nick Watson,FWD,FWD,8839.858759597262,8363.42443367702,-476.4343259202415,12,19,-7
afl-player-v1-adec4d952bcbc52767f5,alix-tauru,Alix Tauru,DEF,DEF,4470.658763285035,4013.145848361212,-457.5129149238228,124,140,-16
afl-player-v1-582c17fa8f38599ba36e,harry-kyle,Harry Kyle,DEF,DEF,2575.742882477178,2121.1531174330544,-454.5897650441234,251,283,-32
afl-player-v1-1f09c43ab0e1bffce94e,xavier-taylor,Xavier Taylor,DEF,DEF,2485.342456140192,2030.900912402073,-454.4415437381185,261,287,-26
afl-player-v1-cfdb2d66b7d42fbb410c,taylor-goad,Taylor Goad,RUC,RUC,629.2244026858432,177.28678849042387,-451.9376141954193,562,690,-128
afl-player-v1-4cc77402f9bb05a25f98,lachlan-smith,Lachlan Smith,RUC,RUC,634.0316451749133,183.15430896119537,-450.87733621371785,561,684,-123
afl-player-v1-0240af654fa3bcbf3f1e,dylan-patterson,Dylan Patterson,DEF,DEF,2029.8559666217589,1580.2088633830635,-449.6471032386953,306,333,-27
afl-player-v1-53c95637430db16d2617,flynn-riley,Flynn Riley,RUC,RUC,462.7232032433624,13.889976016912396,-448.8332272264501,612,776,-164
afl-player-v1-e0445624468b8061dc74,jake-bowey,Jake Bowey,DEF,DEF,5716.027364332794,5270.117711656874,-445.90965267591946,70,78,-8
afl-player-v1-bd42202cb19165646cf4,izak-rankine,Izak Rankine,FWD,FWD,4428.591987587575,3988.263445620711,-440.3285419668641,126,141,-15
afl-player-v1-6dc14b7a0d0df05565c8,shai-bolton,Shai Bolton,FWD,FWD,3751.8413980926953,3315.0049416153856,-436.8364564773096,169,180,-11
afl-player-v1-0a868f1cf4977fe59a3d,max-michalanney,Max Michalanney,DEF,DEF,6409.598657250211,5975.399323902431,-434.1993333477794,52,55,-3
afl-player-v1-b2c51a63fc373bb833ac,koltyn-tholstrup,Koltyn Tholstrup,FWD,DEF,5494.919526885961,5064.095896998783,-430.823629887178,81,86,-5
afl-player-v1-2dd3ccd0e1b4dff6e11a,bo-allan,Bo Allan,DEF,DEF,4859.074510449138,4430.80281249699,-428.2716979521483,107,115,-8
afl-player-v1-87e4c971ec1689a965d6,charlie-banfield,Charlie Banfield,MID,MID,2143.475781221588,1715.4346156733309,-428.0411655482569,299,315,-16
afl-player-v1-2ba9319113f47277fa21,daniel-rioli,Daniel Rioli,FWD,DEF,3215.174284287217,2787.25922614115,-427.9150581460672,199,220,-21
afl-player-v1-98d4447a6c6e8af946e8,lachie-whitfield,Lachie Whitfield,DEF,DEF,3486.9847937536697,3059.4357227096148,-427.5490710440549,183,196,-13
afl-player-v1-c23c541c8c5162167ffa,jordan-clark,Jordan Clark,DEF,DEF,6337.935603726837,5911.3006065280015,-426.63499719883566,54,59,-5
afl-player-v1-73f8a199b2442c4ea5e5,lachie-jaques,Lachie Jaques,DEF,DEF,4150.7123109262975,3729.400395333707,-421.3119155925906,138,158,-20
afl-player-v1-a2337d2b6345bdb9ed5e,riley-thilthorpe,Riley Thilthorpe,FWD,FWD,6013.0257442601305,5597.67119826332,-415.3545459968109,64,65,-1
afl-player-v1-8e328cd4f9bc35e7e371,luke-trainor,Luke Trainor,DEF,DEF,5930.051787591132,5515.031920009416,-415.0198675817155,65,68,-3
afl-player-v1-92c19d79435c34d4b286,trent-rivers,Trent Rivers,DEF,DEF,4525.976526093124,4113.118822842481,-412.8577032506428,121,131,-10
afl-player-v1-62d2d5acac0d15a15a79,mac-andrew,Mac Andrew,DEF,DEF,7240.483887495555,6832.708398827593,-407.77548866796224,32,36,-4
afl-player-v1-2dfeb757c9c20d8e6638,alex-van-wyk,Alex Van Wyk,RUC,RUC,411.7627185929505,4.999448390071672,-406.76327020287886,633,788,-155
